"","V1","V2"
"1","THBS1","PAWR"
"2","FN1","LOC112268430"
"3","RPPH1","PARP2"
"4","PARP2","RPPH1"
"5","FTH1","BEST1"
"6","MMP1","WTAPP1"
"7","VIM","VIM.AS1"
"8","EEF1A1","RPL15"
"9","EEF1A1","RPS6"
"10","MMRN1","HMBOX1"
"11","HSPG2","LDLRAD2"
"12","BEST1","FTH1"
"13","COL6A1","COL6A2"
"14","SPARC","CLMAT3"
"15","COX2","CYTB"
"16","COX2","ATP6"
"17","MALAT1","TALAM1"
"18","VIM.AS1","VIM"
"19","TALAM1","MALAT1"
"20","COL6A2","COL6A1"
"21","ND4","ND5"
"22","ND4","CYTB"
"23","ND4","ATP6"
"24","ND4","ND6"
"25","ND4","ND2"
"26","ND5","ND4"
"27","ND5","CYTB"
"28","ND5","ATP6"
"29","ND5","ND6"
"30","ND5","ND2"
"31","APLN","MCAM"
"32","APLN","JAK1"
"33","COL4A2","COL4A1"
"34","COL4A1","COL4A2"
"35","RPS2","RPLP0"
"36","RPS2","RPS5"
"37","MCAM","APLN"
"38","CYTB","COX2"
"39","CYTB","ND4"
"40","CYTB","ND5"
"41","CYTB","ATP6"
"42","CYTB","ND6"
"43","CYTB","ND2"
"44","WTAPP1","MMP1"
"45","RPL13A","RPL15"
"46","RPL13A","RPL5"
"47","ENG","LOC102723566"
"48","LOX","SRFBP1"
"49","COL18A1","SLC19A1"
"50","PLSCR4","CEACAM1"
"51","CDH5","SEMA6B"
"52","RPLP0","RPS2"
"53","RPLP0","RPSA"
"54","RPLP0","RPS5"
"55","RPS3","RPS16"
"56","RPS3","RPL18"
"57","RPS3","RPS21"
"58","TUBA1B","TUBB4B"
"59","IGFBP7","IGFBP7.AS1"
"60","TAGLN","PCSK7"
"61","ADAM15","FAM107A"
"62","ND1","ND2"
"63","RPL15","EEF1A1"
"64","RPL15","RPL13A"
"65","RPL15","RPS6"
"66","RPL15","RPS3A"
"67","RPL15","RPS8"
"68","RPL15","RPL5"
"69","RPL15","RPS15A"
"70","RPL15","RPL26"
"71","RPL15","RPL30"
"72","RPL15","EIF3L"
"73","ATP6","COX2"
"74","ATP6","ND4"
"75","ATP6","ND5"
"76","ATP6","CYTB"
"77","ATP6","ND6"
"78","ATP6","ND2"
"79","RPS6","EEF1A1"
"80","RPS6","RPL15"
"81","RPS6","RPS3A"
"82","RPS6","RPS8"
"83","RPS6","RPL32"
"84","RPS6","RPL37A"
"85","RPS6","RPL19"
"86","RPS6","RPS7"
"87","RPS6","RPS20"
"88","RPS6","RPS27A"
"89","RPS6","RPL26"
"90","RPS6","RPL24"
"91","RPS6","RPL35A"
"92","RPS6","RPL30"
"93","RPS3A","RPL15"
"94","RPS3A","RPS6"
"95","RPS3A","RPS8"
"96","RPS3A","RPL32"
"97","RPS3A","RPS16"
"98","RPS3A","RPS7"
"99","RPS3A","RPS20"
"100","RPS3A","RPS15A"
"101","RPS3A","RPS13"
"102","RPS3A","RPS27A"
"103","RPS3A","RPL18"
"104","RPS3A","RPL26"
"105","RPS3A","RPL34"
"106","RPS3A","RPL30"
"107","ND6","ND4"
"108","ND6","ND5"
"109","ND6","CYTB"
"110","ND6","ATP6"
"111","ND6","ND2"
"112","RPL4","EEF1G"
"113","RACK1","RPS16"
"114","RACK1","RPL18"
"115","ND2","ND4"
"116","ND2","ND5"
"117","ND2","CYTB"
"118","ND2","ND1"
"119","ND2","ATP6"
"120","ND2","ND6"
"121","RTN4","EML6"
"122","SEC14L1","SEMA6B"
"123","RPSA","RPLP0"
"124","RPSA","RPS5"
"125","CXCL8","CXCL1"
"126","PKHD1L1","KLHL4"
"127","KRT7","KRT7.AS"
"128","RPS8","RPL15"
"129","RPS8","RPS6"
"130","RPS8","RPS3A"
"131","RPS8","RPL32"
"132","RPS8","RPS7"
"133","RPS8","RPS15A"
