"","PARP2","TALAM1","COL4A1","ND5","CYTB","WTAPP1","RPL15","ATP6","RPS3A","ND6","ND2","RPSA","RPS8","RPL10A","RPS16","RPL18A","RPL7","IGFBP7.AS1","RPS7","RPS15A","RPS13","ESAM","RPL18","RPL26","RPS21","LOC112268430","MOV10","RPL37","AFAP1L1","RPS5","CCDC152","H3C2","PTPRE","CEACAM1","RPL30","EIF3L","SLC19A1","RPL31","NFIA","SET","H2BC4","H2AC11","H3C3","SLC20A1","H2AZ1","SH3BP5.AS1","HMBOX1","H3C4","FTH1","VIM","APLN","COX2","PROX1","HSPG2","RPL13A","RPL23","TAGLN","RPS6","RACK1","CXCL8","CLEC14A","RPL4","TUBA1B","RPL32","ICAM2","PRKAR1A","RPL21","RPS20","ENG","H1.5","SNHG29","MMRN1","RPL5","H1.2","RPL35","CFL1","PPIB","SPARC","RTN4","SH3BGRL2"
"THBS1",-0.550739957716702,-0.29009362730293,0.669133192389006,0.0960434913923286,0.175626698882513,-0.0869827846572033,-0.0980066445182724,0.162941709453337,-0.232709151313802,0.0576864995469647,0.160827544548475,-0.134098459679855,-0.112050739957717,-0.129115070975536,-0.315765629719118,-0.119148293566898,-0.0459075807913017,0.149350649350649,-0.146934460887949,-0.271670190274841,-0.356538810027182,0.0769434062541048,-0.11280579885231,-0.0918151615826034,-0.241618846270009,0.258541926412223,-0.130172153427967,-0.321957112654787,-0.139383871942011,-0.185593476291151,-0.118695258230142,0.334340078526125,0.234672304439746,-0.00981576562971912,-0.194352159468439,-0.058743581999396,0.217003926306252,-0.393083660525521,-0.0514950166112957,0.403956508607671,0.142102083962549,0.264270613107822,0.262458471760797,0.093325279371791,0.319691935971006,-0.0921206630323924,0.0507399577167019,0.261703412866204,-0.314406523708849,0.140893989731199,0.287526427061311,0.0906070673512534,-0.0280881908788886,0.674569616430082,-0.0324675324675325,-0.252340682573241,0.213228631833283,-0.20144971307762,-0.119605844461729,0.229688915735427,0.259589247961341,0.00770160072485654,0.221685291452733,-0.247206282090003,0.060555723346421,0.0700694654183026,-0.184536393838719,-0.227272727272727,0.560857746904259,0.319691935971006,-0.102234974327998,0.0857746904258532,-0.159317426759287,0.12382965871338,-0.256720024161885,0.290395650860767,0.087133796436122,0.263968589549985,0.0483237692540018,-0.134400483237693
"RN7SK",0.721836303231652,-0.00226517668378134,-0.152370884929024,0.137722742373905,0.268649954696466,-0.146179401993355,0.0898520084566596,0.144820295983087,0.147689519782543,0.220779220779221,0.0856236786469345,-0.0320144971307762,0.080338266384778,0.0188764723648445,0.366203563877983,0.137722742373905,-0.0108728480821504,0.334642102083963,0.170643310178194,0.289338568408336,0.143763213530655,-0.0672782875097227,0.152672908486862,0.0708245243128964,0.249169435215947,-0.388945520721191,0.0371488976140139,0.337209302325581,0.283298097251586,0.202506795530051,0.0668982180610088,-0.100875868317729,0.22697070371489,0.377227423739052,0.254454847478103,0.0838115372999094,-0.239202657807309,0.427061310782241,0.294623980670492,-0.259589247961341,0.136061612805799,-0.00800362428269405,0.00151011778918756,-0.631531259438236,-0.0857746904258532,-0.120889493044967,0.337964361220175,-0.0489278163696768,0.335850196315313,-0.291754756871036,-0.292358803986711,0.216097855632739,0.375264270613108,-0.26336454243431,0.0856236786469345,0.0341286620356388,-0.517215342796738,0.187254605859257,0.115603881231633,-0.128511023859861,-0.191180912111145,-0.227574750830565,-0.303231652068861,0.141649048625793,-0.0958924796134099,-0.00770160072485654,-0.13349441256418,0.260042283298097,-0.0658411356085775,-0.0368468740561764,0.0303533675626699,0.241769858048928,-0.0117789187556629,0.211416490486258,0.0986106916339475,-0.366656599214739,-0.297795228027786,-0.371639987919058,-0.459226819691936,0.321202053760193
"FN1",-0.537752944729689,0.178042887345213,0.345665961945032,0.0483237692540018,-0.0359408033826639,0.117336152219873,0.0625188764723649,-0.0166112956810631,-0.136967683479311,-0.0184234370280882,0.0353367562669888,-0.131229235880399,-0.0578375113258834,-0.0709755360918152,-0.377680459075808,-0.201147689519783,0.0717305949864089,-0.00498338870431894,0.00181214134702507,-0.219269102990033,-0.255058894593778,-0.199569600323453,-0.252944729688916,0.0818483841739656,-0.44291754756871,0.993921547127362,-0.144669284204168,-0.013591060102688,-0.254001812141347,-0.281183932346723,-0.175626698882513,-0.395952884324977,-0.242826940501359,-0.278767743884023,-0.0442464512231954,-0.00649350649350649,0.268649954696466,-0.161129568106312,-0.159770462096044,0.0829054666263969,-0.432195711265479,-0.462096043491392,-0.458471760797342,0.485502869223799,-0.390969495620658,0.0252199192236222,-0.273784355179704,-0.410299003322259,0.140440954394443,0.164753850800362,0.157052250075506,-0.114315916641498,-0.244488070069465,0.274086378737542,0.027786167321051,0.223497432799758,0.288130474176986,-0.0383569918453639,-0.078680107278486,0.305043793415886,-0.0620658411356086,0.280277861673211,-0.11280579885231,-0.0622168529145273,-0.0878888553307158,0.143612201751737,0.0875868317728783,-0.115675022651767,-0.181969193597101,-0.437481123527635,0.047568710359408,-0.1723044397463,0.113862881304742,-0.521443672606463,-0.0681063122923588,0.0178193899124132,0.0715795832074902,0.532618544246451,0.474932044699487,-0.481274539414074
"RPPH1",0.999093929326487,0.0848686197523407,-0.460283902144367,-0.180157052250076,-0.0771670190274841,0.0454545454545455,0.0246149199637572,-0.118695258230142,0.222440350347327,-0.0816973723950468,-0.207641196013289,0.204771972213833,0.12020537601933,0.202506795530051,0.523859861069163,0.280881908788886,-0.0202355783751133,-0.046964663243733,0.09951676230746,0.325279371791,0.323165206886137,0.174651716060593,0.297644216248867,-0.0184234370280882,0.552099063726971,-0.567448182531499,0.265025672002416,0.271519178495923,0.129266082754455,0.431289640591966,-0.0581395348837209,0.038961038961039,-0.0285412262156448,0.13349441256418,0.157354273633343,0.0665961945031713,-0.301721534279674,0.436273029296285,0.198278465720326,-0.300060404711568,0.250830564784053,0.150558743581999,0.151615826034431,-0.40773180308064,0.101781938991241,-0.0741495828670569,0.166414980368469,0.156750226517668,0.20749018423437,-0.297040169133192,-0.185744488070069,-0.0151011778918756,0.143310178193899,-0.331772878284506,0.0181214134702507,-0.0274841437632135,-0.340833585019632,0.116883116883117,0.213765243479265,-0.136363636363636,-0.00604047115675023,-0.191331923890063,-0.143008154636062,0.225309574146783,0.0996677740863787,-0.225611597704621,-0.0353367562669888,0.236484445786771,-0.025369978858351,0.103896103896104,0.0750528541226216,0.0453035336756267,0.032165508909695,0.388704318936877,0.247508305647841,-0.235276351555421,-0.0427363334340079,-0.24025974025974,-0.397009966777409,0.230141951072184
"PARP2",1,0.0916641498036847,-0.463002114164905,-0.164753850800362,-0.0694654183026276,0.0348837209302326,0.0318634853518574,-0.107369374811235,0.228329809725159,-0.0676532769556025,-0.196315312594382,0.205225007550589,0.124584717607973,0.203261854424645,0.524463908184838,0.282392026578073,-0.0108728480821504,-0.0383569918453639,0.106161280579885,0.329809725158562,0.328601630927212,0.161362177787068,0.296889157354274,-0.0111748716399879,0.545605557233464,-0.571223619541024,0.255360918151616,0.284506191482936,0.141800060404712,0.428873452129266,-0.0428873452129266,0.0305043793415886,-0.0169133192389006,0.145424343098762,0.166414980368469,0.0702204771972214,-0.301721534279674,0.44291754756871,0.210208396254908,-0.300211416490486,0.245847176079734,0.143461189972818,0.14436726064633,-0.413772274237391,0.0922681969193597,-0.0728659342838186,0.173965569314407,0.146330413772274,0.209000302023558,-0.289338568408336,-0.195107218363032,-0.00649350649350649,0.160676532769556,-0.347629115070976,0.025369978858351,-0.0154032014497131,-0.348837209302326,0.124886741165811,0.216634575606503,-0.144518272425249,-0.0178193899124132,-0.184385382059801,-0.151313802476593,0.23180308064029,0.0918151615826034,-0.211718514044095,-0.0270311084264573,0.245394140742978,-0.0440954394442767,0.093929326487466,0.078526125037753,0.052552099063727,0.0416792509815766,0.379492600422833,0.249320446994866,-0.242222893385684,-0.0505889459377832,-0.25611597704621,-0.400030202355784,0.240561763817578
"IGFBP5",0.490939293264875,0.180912111144669,-0.188462700090607,-0.0232558139534884,-0.0200845665961945,-0.120356387798248,-0.093929326487466,-0.032165508909695,-0.0116279069767442,0.0625188764723649,-0.0312594382361824,-0.0975536091815162,-0.0826034430685594,-0.163696768347931,0.123225611597705,-0.103292056780429,-0.130625188764724,0.23180308064029,-0.0382059800664452,0.0699184536393839,0.0999697976442163,-0.251670631054889,-0.128209000302024,-0.104802174569616,0.0330715795832075,-0.16634575463964,0.0332225913621262,0.143914225309574,0.358652974932045,-0.00437934158864391,0.239957716701903,-0.476291150709755,0.0360918151615826,0.424041075203866,-0.032165508909695,-0.092721232256116,-0.206735125339777,0.20749018423437,0.202204771972214,-0.544095439444277,-0.256871035940803,-0.437632135306554,-0.416641498036847,-0.290999697976442,-0.499848988221081,0.0990674671299171,0.123074599818786,-0.435215946843854,0.532014497130776,-0.211567502265177,-0.276502567200242,0.0247659317426759,0.312443370582905,-0.687254605859257,-0.11280579885231,0.0413772274237391,-0.179250981576563,-0.0188764723648445,-0.083814701611439,-0.0356387798248263,-0.355179704016913,-0.225007550588946,-0.375415282392027,-0.00558743581999396,-0.0422832980972516,0.127755964965267,-0.0530051344004832,0.0240108728480822,-0.340078526125038,-0.459377831470855,-0.119299305345817,0.122017517366355,-0.0610087586831773,-0.196315312594382,-0.0629719118091211,-0.371488976140139,-0.291905768649955,-0.443672606463304,0.00453035336756267,0.291150709755361
"SERPINE1",-0.415584415584416,0.248112352763516,0.235578375113259,-0.00347327091513138,0.0617638175777711,0.337058290546663,-0.395046813651465,0.139081848384174,-0.364391422530957,-0.0185744488070069,0.170341286620356,-0.143008154636062,-0.376623376623377,-0.16868015705225,-0.387496224705527,-0.325128360012081,-0.322410147991543,-0.221383267894896,-0.39202657807309,-0.546511627906977,-0.394140742977952,-0.0263525503264795,-0.313500453035337,-0.3204469948656,-0.294321957112655,0.538301808817972,0.292358803986711,-0.286620356387798,-0.643914225309574,-0.151917849592268,-0.474932044699487,-0.12141347025068,-0.572636665659922,-0.462851102385986,-0.37737843551797,-0.438236182422229,-0.106161280579885,-0.387647236484446,-0.70144971307762,0.0220477197221383,-0.236333434007853,-0.125792811839323,-0.117638175777711,0.697976442162489,0.00800362428269405,-0.154943934870876,-0.728329809725159,-0.116581093325279,0.114768951978254,-0.111144669284204,0.470401691331924,0.0524010872848082,-0.560857746904259,0.395952884324977,-0.348686197523407,-0.256266988825128,0.634853518574449,-0.36529749320447,-0.265715256730319,0.691935971005739,0.0335246149199638,-0.074146783449109,0.358652974932045,-0.285261250377529,0.273482331621867,-0.378435517970402,-0.211869525823014,-0.431893687707641,0.118695258230142,-0.109785563273935,-0.208547266686802,-0.685895499848988,-0.231048021745696,-0.322410147991543,0.0151011778918756,0.363334340078526,0.102839021443673,0.567804288734521,0.755209906372697,-0.826185442464512
"RMRP",0.770915131380248,0.0662941709453337,-0.445182724252492,-0.23905164602839,-0.0530051344004832,0.159468438538206,-0.0428873452129266,-0.105104198127454,0.22455451525219,-0.127604953186349,-0.170643310178194,0.307913017215343,0.121866505587436,0.293113862881305,0.56674720628209,0.339474479009363,-0.0226517668378134,-0.231501057082452,0.104047115675023,0.246753246753247,0.370733917245545,0.175406803462498,0.357897916037451,-0.0295983086680761,0.670945333736031,-0.504926945653777,0.416943521594684,0.278012684989429,-0.200845665961945,0.590909090909091,-0.123980670492298,0.147840531561462,-0.283751132588342,-0.0886439142253096,0.197976442162489,-0.0758079130172153,-0.411658109332528,0.39927514346119,-0.201298701298701,-0.196919359710057,0.262760495318635,0.239353669586228,0.254303835699185,-0.171851404409544,0.282241014799154,-0.201683845048787,-0.181818181818182,0.239504681365146,0.144216248867412,-0.266233766233766,-0.117638175777711,0.122470552703111,-0.154938085170643,-0.231350045303534,0.0143461189972818,-0.093929326487466,0.00362428269405014,0.146179401993355,0.24260958223203,0.000453035336756267,0.0279371790999698,-0.166414980368469,0.117487163998792,0.264270613107822,0.1723044397463,-0.56433101781939,0.00196315312594382,0.246451223195409,0.0937783147085473,0.201600724856539,0.157505285412262,-0.260797342192691,0.00951374207188161,0.346572032618544,0.463304137722742,0.00437934158864391,0.0516460283902144,-0.116128057988523,-0.118393234672304,-0.0428873452129266
"MMRN1",0.052552099063727,-0.193446088794926,0.290697674418605,0.24388402295379,0.108124433705829,-0.367260646330414,0.407882814859559,0.0508909694956207,0.225460585925702,0.22213832678949,0.0566294170945334,-0.187858652974932,0.295832074901842,-0.0967985502869224,-0.0120809423135005,0.0922681969193597,0.371942011476895,0.459377831470855,0.321806100875868,0.366354575656901,0.12141347025068,-0.102842904139441,0.0792811839323467,0.347327091513138,-0.119299305345817,-0.132744365254874,-0.534732709151314,0.173965569314407,0.780730897009967,-0.263062518876472,0.422681969193597,-0.0161582603443069,0.855783751132588,0.625943823618242,0.199335548172757,0.479915433403806,0.414980368468741,0.151464814255512,0.901540320144971,0.161884627000906,0.060555723346421,-0.0519480519480519,-0.0459075807913017,-0.675777710661432,-0.158713379643612,0.204855212136787,0.93446088794926,-0.0626698882512836,-0.0380549682875264,0.080942313500453,-0.407429779522803,-0.00120809423135005,0.755360918151616,-0.12141347025068,0.394895801872546,0.298701298701299,-0.612352763515554,0.232105104198127,0.0874391211405823,-0.358199939595288,-0.0300513440048324,0.167019027484144,-0.513289036544851,0.0675022651766838,-0.255813953488372,0.749169435215947,0.147085472666868,0.265176683781335,-0.148293566898218,-0.0519480519480519,0.156448202959831,1,0.262307459981879,0.116430081546361,-0.307610993657505,-0.475838115372999,-0.167170039263063,-0.369978858350951,-0.700543642404107,0.734068257324071
"EFEMP1",-0.351253397765026,-0.323920265780731,0.67351253397765,0.260042283298097,0.251887647236484,-0.360012080942314,0.158109332527937,0.222742373905165,-0.0300513440048324,0.217607973421927,0.223195409241921,-0.0804892781636968,0.0934762911507098,-0.0336756266988825,-0.14074297795228,0.034581697372395,0.207641196013289,0.437028088190879,0.0745998187858653,0.00181214134702507,-0.135608577469043,-0.140446256754303,-0.00437934158864391,0.130776200543642,-0.230292962851102,0.0868350512190584,-0.488070069465418,-0.0759589247961341,0.378133494412564,-0.155542132286318,0.3228631833283,0.197070371488976,0.685140440954394,0.467381455753549,0.0487768045907581,0.18695258230142,0.266082754454847,-0.196013289036545,0.474781032920568,0.374056176381758,0.128964059196617,0.127755964965267,0.14195107218363,-0.326034430685594,0.112352763515554,-0.0440215955310531,0.543944427665358,0.101177891875566,-0.269102990033223,0.295983086680761,-0.0957414678344911,0.190425853216551,0.523708849290245,0.30700694654183,0.26940501359106,0.0264270613107822,-0.175324675324675,0.0376019329507702,0.0363197040316236,-0.00800362428269405,0.0530051344004832,0.159317426759287,-0.108728480821504,-0.0220477197221383,-0.238145575354878,0.474176985804893,-0.025974025974026,0.025974025974026,0.301570522500755,0.1529749320447,0.110087586831773,0.546058592570221,0.0563273935366959,0.13591060102688,-0.272123225611598,-0.00906070673512534,0.0302023557837511,-0.164753850800362,-0.263968589549985,0.364240410752039
