	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	7	1	0	0	21	8
ClusterID:2	2	1	0	0	0	0
ClusterID:3	30	30	0	0	300	0
ClusterID:4	10	3	0	0	45	0
ClusterID:5	3	3	0	0	2	0
ClusterID:6	1	0	0	0	0	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	2	1	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	2	1	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	43	42	0	0	903	0
ClusterID:17	7	9	0	0	11	0
ClusterID:18	30	26	0	68	12	0
ClusterID:19	6	8	1	1	1	0
ClusterID:20	5	4	0	0	0	0
ClusterID:21	58	201	0	0	1176	0
ClusterID:22	1	0	0	0	0	0
ClusterID:23	11	19	0	0	21	0
ClusterID:24	10	4	0	0	28	0
ClusterID:25	25	140	0	0	144	0
ClusterID:26	2	1	0	0	0	0
ClusterID:27	6	8	0	0	0	0
ClusterID:28	7	10	0	0	0	0
ClusterID:29	3	3	0	0	0	0
ClusterID:30	16	4	0	1	14	93
ClusterID:31	12	10	3	0	24	0
ClusterID:32	76	210	0	0	2080	0
ClusterID:33	2	1	0	0	0	0
ClusterID:34	2	1	0	0	0	0
ClusterID:35	2	1	0	0	0	0
ClusterID:36	1	0	0	0	0	0
ClusterID:37	15	8	0	69	0	0
ClusterID:38	5	5	0	0	0	0
ClusterID:39	10	8	1	0	15	0
ClusterID:40	20	6	0	0	94	0
ClusterID:41	3	1	0	0	0	1
ClusterID:42	14	50	0	0	1	0
ClusterID:43	2	1	0	0	0	0
ClusterID:44	2	1	0	0	0	0
ClusterID:45	4	0	0	6	0	0
ClusterID:46	5	7	0	1	1	0
ClusterID:47	1	0	0	0	0	0
ClusterID:48	5	4	0	0	0	0
ClusterID:49	5	6	1	0	1	0
ClusterID:50	7	8	3	0	2	0
ClusterID:51	24	232	0	0	171	0
ClusterID:52	6	5	0	0	0	0
ClusterID:53	2	1	0	0	0	0
ClusterID:54	19	99	0	0	5	0
ClusterID:55	1	0	0	0	0	0
