GENE,HUVECs_2,HUVECs_3,HUVECs_4,HDLECs_1,HDLECs_2,HDLECs_3
DDX11L1,0,0,0,0,1,0
WASH7P,163,216,200,135,163,155
MIR6859-1,2,0,1,1,1,0
MIR1302-2HG,0,1,0,0,0,0
MIR1302-2,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0
LOC100996442,3,1,6,0,6,3
LOC729737,22,16,30,0,1,0
DDX11L17,2,11,1,13,4,12
WASH9P,85,92,60,59,35,44
MIR6859-2,0,0,0,0,0,0
LOC107985721,0,0,0,0,0,2
LOC112268260,1,1,1,0,0,0
OR4F29,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0
LOC105378947,2,4,0,2,0,0
LOC101928626,0,0,0,0,0,0
MIR12136,1,0,8,0,0,1
OR4F16,1,2,4,0,0,1
LOC100288069,89,81,59,62,35,47
LINC01409,26,17,7,9,15,17
FAM87B,15,10,9,11,7,19
LINC00115,33,28,23,26,25,53
LINC01128,551,492,604,1245,2351,3385
LOC107984850,0,0,0,13,13,11
FAM41C,0,0,0,0,1,0
LOC284600,9,7,3,1,1,2
LINC02593,0,0,0,0,0,1
LOC107985728,0,1,2,0,0,1
SAMD11,662,609,448,482,497,451
NOC2L,4602,4573,3935,3756,3426,3088
KLHL17,255,305,205,207,194,180
PLEKHN1,57,74,25,66,95,78
PERM1,12,17,6,18,33,16
HES4,372,456,329,432,443,859
ISG15,903,1047,1139,804,771,647
AGRN,19966,14613,17148,18645,26690,17359
LOC100288175,17,8,13,35,84,106
LOC105378948,10,4,4,5,28,20
RNF223,0,0,0,1,0,0
C1orf159,572,479,524,465,413,439
LINC01342,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR429,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0
TNFRSF18,1,1,1,10,4,14
TNFRSF4,34,36,29,450,430,520
SDF4,9243,9202,9166,8572,9148,9385
B3GALT6,1827,1890,1873,1244,1631,1891
C1QTNF12,10,12,5,33,32,39
UBE2J2,2963,3159,2857,2932,2350,2327
LINC01786,27,25,16,15,8,10
SCNN1D,36,56,37,25,18,33
ACAP3,1058,1026,724,823,597,738
MIR6726,0,0,0,0,0,0
SNORD167,0,0,0,0,0,0
PUSL1,679,626,573,634,474,452
INTS11,3947,4043,3839,3783,3406,3416
MIR6727,0,0,0,0,0,0
CPTP,2480,2788,2645,2818,2793,2686
TAS1R3,51,43,15,26,13,14
DVL1,2158,2036,1755,1799,1545,1516
MIR6808,0,0,0,0,0,0
MXRA8,51,54,22,39,69,70
AURKAIP1,2777,2992,2556,3016,2521,2518
CCNL2,2166,1900,1519,1373,1156,1181
MRPL20-AS1,425,510,496,478,445,400
MRPL20,1416,1724,1525,1748,1277,1264
MRPL20-DT,99,146,136,78,73,76
LOC107984868,1,1,0,0,1,0
ANKRD65,9,6,4,19,5,18
ANKRD65-AS1,0,0,0,3,0,0
TMEM88B,0,1,0,0,1,1
LINC01770,0,3,2,9,2,10
LOC107985729,2,1,2,7,0,7
VWA1,251,187,365,1437,1513,1923
ATAD3C,2,2,3,27,23,40
ATAD3B,1236,1500,713,1064,644,647
ATAD3A,2061,2047,1593,1625,1259,1153
TMEM240,92,93,69,29,40,47
SSU72,4260,4760,4380,4364,4139,3774
FNDC10,224,183,264,346,375,512
LOC105378586,12,12,13,17,20,43
MIB2,1509,1497,1569,1159,1275,1495
MMP23B,21,28,14,16,24,30
CDK11B,900,882,888,731,798,777
SLC35E2B,5108,4363,5018,2935,4644,5154
MMP23A,3,3,0,0,0,3
CDK11A,359,457,325,485,254,349
SLC35E2A,1262,2094,890,1832,921,1471
LOC112268218,197,211,218,193,174,210
NADK,3762,4061,3567,3177,2940,2751
GNB1,26686,25658,26319,30782,29653,29947
GNB1-DT,12,17,10,5,10,13
CALML6,1,1,0,1,0,1
TMEM52,21,24,21,8,14,7
CFAP74,0,0,0,1,1,1
LOC107984872,0,0,0,0,0,0
LOC105378589,3,0,0,9,12,21
GABRD,0,0,0,9,32,79
LOC105378590,0,0,0,0,0,0
PRKCZ-DT,0,0,0,0,0,4
PRKCZ,261,251,278,1079,1438,2103
PRKCZ-AS1,26,15,25,10,16,16
FAAP20,1943,2098,1782,1841,1827,2149
LOC112268219,195,170,114,251,273,222
LOC105378593,2,6,2,3,2,3
SKI,10027,9266,9099,7918,9362,9898
MORN1,165,138,120,104,163,160
LOC100129534,25,26,19,6,53,37
RER1,5574,6056,5847,6219,5517,4982
PEX10,2764,2813,2656,2527,2529,2200
PLCH2,64,85,51,51,62,110
PANK4,6,9,8,4,1,3
HES5,0,0,0,0,0,0
TNFRSF14-AS1,0,0,0,0,0,0
TNFRSF14,17,18,13,16,27,36
LOC100996583,0,0,0,0,0,0
PRXL2B,0,0,0,0,1,0
MMEL1,1,0,0,0,0,1
MMEL1-AS1,0,0,0,0,0,0
TTC34,0,1,0,0,1,0
LOC105378603,0,0,0,0,0,0
LOC105378602,0,0,0,0,0,0
LOC105378601,0,0,0,0,0,0
LOC112268220,0,0,0,0,0,0
LOC107985732,0,0,0,0,0,0
LOC105378600,0,0,0,0,0,0
LOC105378598,0,0,0,0,0,0
LOC107984904,0,0,0,0,0,0
LOC105378599,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0
PRDM16,0,0,0,0,0,1
MIR4251,0,0,0,0,0,0
LOC105378606,0,0,0,0,0,0
LOC107984909,0,0,0,0,0,0
LOC105378605,0,0,0,0,0,0
LOC105378604,6,2,0,9,1,1
ARHGEF16,38,68,47,54,58,117
MEGF6,4318,5095,7357,7626,16771,17600
LOC105378608,11,4,3,3,3,5
MIR551A,1,2,0,0,0,0
LOC105378607,6,14,2,0,0,2
TPRG1L,4644,5000,5436,6085,5688,5391
WRAP73,873,977,820,625,694,662
TP73,22,21,26,10,15,16
TP73-AS3,1,0,0,2,0,0
LOC105378609,0,0,0,0,0,0
TP73-AS1,1323,1310,1062,743,803,895
CCDC27,0,0,1,0,0,0
SMIM1,27,29,18,12,24,9
LRRC47,2849,2960,2666,2294,2259,2279
CEP104,2046,1892,2084,2332,2203,2203
DFFB,412,410,392,382,325,299
LOC107984910,17,9,5,5,2,9
C1orf174,1260,1528,1384,1343,957,860
LINC01134,5,8,6,10,16,9
LINC01346,0,0,0,0,0,0
LINC01345,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0
LOC105376674,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0
LOC107985376,0,10,0,0,0,0
AJAP1,2,4,0,0,0,0
LINC02781,0,0,0,0,0,0
LOC102724429,0,0,0,0,0,0
LINC02782,0,0,0,0,0,0
LOC105376682,0,0,0,0,0,0
LOC107984911,0,0,0,0,0,0
LOC105376686,0,0,0,0,0,0
MIR4689,1,0,0,0,0,0
NPHP4,816,775,772,536,552,493
KCNAB2,514,455,570,230,233,298
CHD5,4,2,7,6,4,2
LOC105376687,0,0,0,0,0,0
RPL22,9946,11104,9996,10541,10214,11014
LOC107985733,25,19,28,37,14,18
RNF207-AS1,10,5,6,13,11,8
RNF207,200,190,155,245,166,177
ICMT,6355,6075,5636,5997,6686,6804
ICMT-DT,4,6,5,12,8,4
HES3,1,0,0,0,0,0
GPR153,604,617,466,477,688,905
ACOT7,2510,2555,2242,5067,2660,2419
HES2,680,685,468,3030,1505,1093
ESPN,58,59,39,473,430,376
MIR4252,0,0,0,0,0,0
TNFRSF25,402,385,243,238,136,180
PLEKHG5,5472,4921,4005,3755,3197,3174
NOL9,4271,4310,4096,4098,3933,3814
TAS1R1,2,1,0,0,1,0
LOC107984912,0,0,0,0,0,0
ZBTB48,405,452,441,324,283,317
KLHL21,1516,1501,1280,1373,1195,1094
LOC107984913,19,18,27,9,22,19
PHF13,1489,1379,1418,1242,1317,1439
THAP3,1860,2096,1778,1720,1468,1436
DNAJC11,3358,3449,3104,3148,2716,2678
LINC01672,0,0,0,0,0,0
CAMTA1-DT,7,17,7,7,3,8
CAMTA1,2022,2222,2161,1236,1296,1218
LOC105376692,0,0,0,0,0,0
CAMTA1-AS2,0,0,0,0,0,0
CAMTA1-AS1,3,2,0,4,1,0
LOC105376691,0,0,0,0,0,0
LOC105376689,4,1,0,0,1,2
VAMP3,12348,12955,13468,13825,12634,13404
PER3,331,262,400,326,357,494
UTS2,0,0,1,0,0,0
TNFRSF9,13,10,6,7,2,4
PARK7,4786,5272,5071,5871,5465,5233
ERRFI1,2640,3286,2793,4793,12651,14782
LOC107984915,1,1,2,4,2,4
LINC01714,0,1,0,1,1,0
LOC105376695,0,0,0,0,8,2
SLC45A1,227,185,217,189,293,259
RERE,9012,8067,8515,8952,15206,16776
RERE-AS1,9,1,2,1,0,0
SNORD128,0,0,0,0,0,1
ENO1,64165,65125,57333,69700,51200,39853
MIR6728,0,0,0,0,0,0
ENO1-AS1,10,9,9,10,7,7
LOC112268261,0,0,0,0,0,0
CA6,0,0,0,0,0,0
SLC2A7,0,0,0,11,38,54
SLC2A5,0,2,2,2,21,21
GPR157,318,332,383,440,418,490
MIR34AHG,259,192,122,143,96,78
MIR34A,0,0,0,0,0,0
LNCTAM34A,182,183,181,170,125,109
H6PD,10654,12622,11011,8915,13833,11110
SPSB1,3625,2773,3939,3549,6925,11363
LINC02606,136,178,167,101,77,128
SLC25A33,491,574,440,299,269,348
TMEM201,2050,1950,1760,1309,974,1315
LOC105376712,0,0,0,0,0,0
PIK3CD,940,801,826,778,549,565
PIK3CD-AS1,0,0,0,0,0,0
PIK3CD-AS2,19,27,14,51,80,100
CLSTN1,15733,14112,15511,11308,14314,13330
CTNNBIP1,3646,3686,3450,1944,1404,1648
LOC105376717,263,336,331,168,91,120
LZIC,2269,2700,2569,2081,1882,1850
NMNAT1,791,925,881,868,850,870
TMEM274P,3,2,0,1,1,0
MIR5697,0,0,0,0,0,0
RBP7,0,2,0,11,7,21
UBE4B,5652,5684,5850,4740,5395,5326
KIF1B,7037,5875,6528,6805,6665,7171
LOC105376725,7,4,6,1,2,6
PGD,15633,15509,17235,9714,5277,5747
CENPS-CORT,1,2,2,1,0,0
CENPS,48,38,40,37,18,18
CORT,5,5,2,2,2,1
DFFA,4469,5249,4853,4866,3782,4232
PEX14,1466,1416,1425,1264,1199,1221
CASZ1,297,323,229,143,318,259
LOC105376733,0,0,0,0,0,0
LOC105376735,0,0,0,0,0,0
C1orf127,0,0,0,0,1,5
TARDBP,7339,6953,6364,7120,5812,5690
MASP2,81,46,34,35,20,22
SRM,6394,7345,6124,6711,4823,3955
EXOSC10,4052,4086,3625,3553,3326,3214
EXOSC10-AS1,343,305,306,292,307,258
MTOR,7780,6444,7766,9057,11233,9693
MTOR-AS1,154,144,196,219,246,202
ANGPTL7,11,6,5,10,6,6
UBIAD1,1466,1326,1440,2043,2363,2024
LOC105376737,1,0,0,0,0,0
LOC105376739,0,0,0,0,0,0
LOC105376740,0,0,0,0,0,0
DISP3,37,20,18,12,13,20
LOC112268221,2,2,2,0,0,1
LINC01647,0,0,0,0,0,1
FBXO2,37,50,37,147,136,106
FBXO44,649,768,618,743,643,627
FBXO6,160,171,158,171,162,183
MAD2L2,1174,1260,1029,1010,833,836
DRAXIN,255,310,199,203,59,65
AGTRAP,1537,1678,1485,1592,1687,1612
C1orf167,685,876,683,711,1947,1555
C1orf167-AS1,0,0,0,0,0,0
MTHFR,2159,2589,2196,2324,5804,4831
CLCN6,853,900,801,687,933,985
NPPA-AS1,14,2,2,3,5,4
NPPA,17,2,1,6,9,15
NPPB,0,0,0,0,0,0
RNU5E-1,35,111,23,29,30,22
KIAA2013,3671,3656,3408,3245,3325,3276
PLOD1,22375,18182,26105,15136,16853,12929
MFN2,7675,7093,7193,9597,8875,8617
MIIP,772,867,808,806,532,589
MIR6729,0,0,0,0,0,0
TNFRSF8,8,31,16,0,1,1
MIR7846,0,0,0,0,0,0
TNFRSF1B,7290,8915,7519,927,812,1265
MIR4632,0,0,0,0,0,0
LOC107984917,4,3,10,3,1,1
VPS13D,5163,4516,5791,5327,6056,6073
SNORA59A,1,0,1,2,2,3
LINC02766,9,5,3,2,1,0
DHRS3,2706,3231,3517,2557,2717,2532
MIR6730,1,0,0,0,0,1
AADACL4,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
CFAP107,0,0,0,0,0,0
PRAMEF12,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0
HNRNPCL1,0,0,0,0,0,0
PRAMEF2,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0
PRAMEF25,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0
PRAMEF36P,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0
PRAMEF5,0,0,0,0,0,0
PRAMEF8,0,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,1
PRAMEF19,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0
LRRC38,0,0,0,308,45,14
LOC102724856,0,0,0,7,1,2
LOC107984918,0,0,0,46,5,1
PDPN,0,0,0,41964,40535,30863
LOC107984919,0,0,0,17,21,11
LOC105378612,0,0,0,0,0,0
LOC105376756,0,0,0,0,0,0
PRDM2,3440,3129,3429,4690,5275,5246
KAZN,345,262,573,254,130,227
LOC107985467,0,0,0,0,0,0
LOC107985468,0,0,0,0,0,0
KAZN-AS1,0,0,0,0,0,0
LOC105376759,0,0,0,0,0,0
LOC107985469,0,0,0,0,0,0
TMEM51-AS1,7,15,13,6,4,19
TMEM51,898,1065,792,690,916,1293
TMEM51-AS2,12,6,5,3,3,9
FHAD1,11,17,6,15,3,8
