"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"THBS1",613914,743012,135705,650767,113973,11541,1404431,273531,1022904,495524,37801,950928,860974,1039946,1128269,938008,279175,80126,895992,189297,1317642,1051164,377460,1060246,179197,622747,342848,222870,2354,5310,303916,431953,658067,387060,723841,481963,806334,921845,554299,1112592,622364,896033,590162
"RN7SK",1446008,1192418,784907,752205,978946,1213219,1159883,1210546,1690218,1404657,1954257,1096679,902365,1032434,1154690,1111194,1441961,854025,1612095,1504451,951940,1028018,1389231,727783,847016,1167365,1217473,739100,1516184,2091969,1050609,1244283,1176626,1277024,1048584,1936606,1008723,690791,913457,838207,918485,754685,1113119
"FN1",115875,392381,1742530,68254,318247,155037,257207,5776,257840,114722,111709,223713,58997,150262,156031,36816,44511,67814,18059,6376,162356,163166,112097,44688,132669,262220,35011,793082,56787,48757,27716,78780,165136,245723,112546,50260,130572,238491,173704,240192,195300,190498,232947
"RPPH1",1023814,495988,363275,327671,476024,744150,628051,732123,336539,777585,941264,441877,527568,507273,617574,747812,755179,611909,585270,1003501,415686,552323,917514,429917,638001,643813,635390,567645,1188352,1291501,624856,742050,551669,684472,630195,953515,499626,372757,510675,360791,406744,299191,438933
"PARP2",1021616,497735,367409,329680,479676,740782,627650,728768,337341,774267,945409,441346,537852,510984,616327,750116,755723,610803,575076,998261,412471,551972,915566,429147,651612,640191,636228,563940,1184142,1288464,628966,740486,553873,685095,629033,953118,496965,380865,523063,362299,418673,302904,446483
"IGFBP5",412,8782,585,105,17840,195998,280,30879,126,170663,98525,230,325,22,264,103,167454,15631,101,1751,46,66,30389,631,80979,934,1845,3683,322609,855980,4298,12962,137,42387,79,13,114,14,68,87,16992,556,6363
"SERPINE1",111631,319121,355419,248329,120600,43793,176980,40826,60998,31772,6990,218075,29245,284200,283783,44109,6747,45084,15514,11802,306748,197713,92971,114933,86169,116931,25115,309345,6650,13491,15408,534210,291960,421322,104579,62505,435711,112488,68972,98460,120780,18326,8773
"RMRP",524204,312170,272621,191612,400031,447692,313286,542297,202236,363740,294922,309053,355075,412097,434621,419347,409083,402405,329800,510580,295271,381079,517826,275453,315463,450591,427923,345498,480107,500393,344409,580086,430667,289260,380082,786988,382905,156712,219692,156286,222610,177874,200636
"MMRN1",87011,137435,1345,48414,0,98375,143416,41894,235152,382583,260582,71363,181193,35534,101645,151953,308343,63938,153299,38857,121503,70044,112120,94312,42212,113744,229347,35,280707,355721,281420,29631,40450,25092,61478,116518,12360,170022,212053,280311,174328,471249,407796
"EFEMP1",142325,272745,6536,136133,174,20304,322692,40826,287850,248092,45251,229033,349003,200972,263596,412210,223852,117308,431810,5224,232521,136868,204300,259007,138186,213012,210989,10985,39655,29338,149465,127577,154183,122582,219700,183439,122770,200676,165062,309539,329866,456196,303881
"FTH1",115753,149791,488243,128155,156284,207154,139907,77707,222328,252648,380764,80190,113677,146863,222053,128356,310885,144820,98756,74493,155781,130332,266249,132825,100005,98013,125299,166432,323045,528046,80890,287479,211550,485624,67216,76364,131072,47868,61534,56236,116206,123445,146532
"ACTB",392633,316475,415710,391857,265884,585141,478963,632780,291760,319645,215108,442723,351423,511914,523114,489656,285535,454942,560996,444382,547816,585979,376125,495241,433061,343950,213653,472926,286066,276290,201713,425042,540445,298342,389811,266777,585671,392131,369361,389355,413797,350796,358610
