"","x"
"1","AARS1"
"2","ABALON"
"3","ABCA2"
"4","ABCA5"
"5","ABCB8"
"6","ABCE1"
"7","ABHD13"
"8","ABHD17A"
"9","ABHD18"
"10","ABI2"
"11","ACAA1"
"12","ACAD8"
"13","ACAT1"
"14","ACBD6"
"15","ACOT2"
"16","ACOT8"
"17","ACTA2"
"18","ACTA2-AS1"
"19","ACTN1"
"20","ACTR1B"
"21","ACTR6"
"22","ACVR2A"
"23","ADAMTS10"
"24","ADAT2"
"25","ADAT3"
"26","ADGRA2"
"27","ADGRA3"
"28","ADRM1"
"29","ADSS2"
"30","AEBP2"
"31","AFDN"
"32","AGBL5"
"33","AGGF1"
"34","AGO3"
"35","AGPAT2"
"36","AHNAK"
"37","AIP"
"38","AK1"
"39","AKAP8L"
"40","AKAP9"
"41","AKIP1"
"42","AKR1A1"
"43","AKR1B1"
"44","ALAS1"
"45","ALDOA"
"46","ALG10"
"47","ALG10B"
"48","ALG3"
"49","ALKBH5"
"50","ALKBH7"
"51","ALKBH8"
"52","ALMS1"
"53","ALYREF"
"54","AMFR"
"55","AMMECR1"
"56","ANAPC11"
"57","ANAPC15"
"58","ANGEL2"
"59","ANKRD26"
"60","ANKRD28"
"61","ANKRD36BP1"
"62","ANKRD36C"
"63","ANKRD46"
"64","ANKRD6"
"65","ANKS1B"
"66","ANKS6"
"67","ANO10"
"68","ANP32A"
"69","ANTKMT"
"70","ANXA2P2"
"71","ANXA4"
"72","AP1AR"
"73","AP1S1"
"74","AP3M2"
"75","AP4S1"
"76","AP5S1"
"77","AP5Z1"
"78","APEH"
"79","APOBEC3G"
"80","APOL2"
"81","APOL6"
"82","ARF3"
"83","ARFIP2"
"84","ARHGAP10"
"85","ARHGAP21"
"86","ARHGAP28"
"87","ARHGAP32"
"88","ARHGAP39"
"89","ARHGDIA"
"90","ARHGEF6"
"91","ARID1B"
"92","ARID3B"
"93","ARID4A"
"94","ARID4B"
"95","ARID5B"
"96","ARL10"
"97","ARL5A"
"98","ARL6IP4"
"99","ARMC10"
"100","ARPC1B"
"101","ARPC4"
"102","ARPIN"
"103","ARPP19"
"104","ARSA"
"105","ARSD-AS1"
"106","ART4"
"107","ASAP2"
"108","ASB7"
"109","ASH2L"
"110","ATAD3B"
"111","ATAD5"
"112","ATF7"
"113","ATG101"
"114","ATG13"
"115","ATG14"
"116","ATG4C"
"117","ATOX1"
"118","ATP13A1"
"119","ATP5F1D"
"120","ATP5ME"
"121","ATP5MF"
"122","ATP5MG"
"123","ATP5MK"
"124","ATP5PD"
"125","ATP5PO"
"126","ATP6V0A1"
"127","ATP6V0A2"
"128","ATP6V0B"
"129","ATP6V0C"
"130","ATP6V0D1"
"131","ATP6V0E1"
"132","ATP6V1A"
"133","ATP6V1B2"
"134","ATP6V1E1"
"135","ATP6V1F"
"136","ATP6V1H"
"137","ATP8"
"138","ATRN"
"139","ATRX"
"140","ATXN7L2"
"141","AUP1"
"142","AURKAIP1"
"143","B3GAT2"
"144","B3GNT4"
"145","BAD"
"146","BAIAP2L1"
"147","BAZ2B"
"148","BAZ2B-AS1"
"149","BBIP1"
"150","BBS1"
"151","BBS10"
"152","BCAP31"
"153","BCAT1"
"154","BCL10"
"155","BCL2L1"
"156","BCL2L13"
"157","BCL3"
"158","BCL7B"
"159","BCL9L"
"160","BCLAF1"
"161","BEST1"
"162","BET1"
"163","BHLHE40"
"164","BLVRB"
"165","BMI1"
"166","BNC1"
"167","BOD1L1"
"168","BOK-AS1"
"169","BOLA1"
"170","BPHL"
"171","BPNT2"
"172","BPTF"
"173","BRCA1"
"174","BRCA2"
"175","BRCC3"
"176","BRD3"
"177","BRD7"
"178","BRF2"
"179","BRI3"
"180","BRI3BP"
"181","BRICD5"
"182","BRMS1"
"183","BRMS1L"
"184","BRWD3"
"185","BZW1-AS1"
"186","C11orf68"
"187","C17orf58"
"188","C17orf80"
"189","C18orf54"
"190","C19orf12"
"191","C19orf53"
"192","C1orf109"
"193","C1orf122"
"194","C1orf43"
"195","C2CD3"
"196","C2CD5"
"197","C4orf48"
"198","C5orf22"
"199","C6orf226"
"200","C7orf26"
"201","C8orf82"
"202","C9orf85"
"203","CA14"
"204","CALM3"
"205","CAMSAP2"
"206","CAND2"
"207","CAP1"
"208","CAPN7"
"209","CAPNS1"
"210","CARD8"
"211","CARHSP1"
"212","CARNMT1"
"213","CASD1"
"214","CASP4"
"215","CASP4LP"
"216","CASTOR3"
"217","CBR1"
"218","CBR1-AS1"
"219","CCAR1"
"220","CCDC124"
"221","CCDC126"
"222","CCDC138"
"223","CCDC14"
"224","CCDC167"
"225","CCDC186"
"226","CCDC25"
"227","CCDC43"
"228","CCDC66"
"229","CCDC82"
"230","CCDC85B"
"231","CCDC88A"
"232","CCDC9"
"233","CCDC92"
"234","CCM2"
"235","CCND3"
"236","CCNE2"
"237","CCNG2"
"238","CCNH"
"239","CCNJ"
"240","CCNT2"
"241","CCP110"
"242","CCSAP"
"243","CCT7"
"244","CD2BP2-DT"
"245","CD40"
"246","CD63"
"247","CDC37"
"248","CDC42BPA"
"249","CDC7"
"250","CDIPT"
"251","CDK13"
"252","CDK5"
"253","CDKL1"
"254","CDKL3"
"255","CEBPD"
"256","CEBPZ"
"257","CENPB"
"258","CENPC"
"259","CENPE"
"260","CENPJ"
"261","CENPN"
"262","CEP120"
"263","CEP135"
"264","CEP152"
"265","CEP162"
"266","CEP164"
"267","CEP290"
"268","CEP295"
"269","CEP350"
"270","CEP57L1"
"271","CEP78"
"272","CEP85L"
"273","CERK"
"274","CERS2"
"275","CHCHD2"
"276","CHCHD5"
"277","CHD1"
"278","CHFR"
"279","CHIC1"
"280","CHMP1A"
"281","CHMP2A"
"282","CHRAC1"
"283","CHROMR"
"284","CHST10"
"285","CIAO2B"
"286","CIB2"
"287","CIBAR1"
"288","CIITA"
"289","CILK1"
"290","CINP"
"291","CIR1"
"292","CITED4"
"293","CKS2"
"294","CLBA1"
"295","CLDN11"
"296","CLP1"
"297","CLPTM1"
"298","CLTA"
"299","CLTB"
"300","CLTC"
"301","CNDP2"
"302","CNOT10"
"303","CNOT6"
"304","CNOT7"
"305","CNP"
"306","CNPY2"
"307","CNTLN"
"308","CNTNAP3"
"309","CNTRL"
"310","COASY"
"311","COG3"
"312","COMMD2"
"313","COMMD3"
"314","COMMD5"
"315","COMMD9"
"316","COMT"
"317","COPA"
"318","COPE"
"319","COPG1"
"320","COPRS"
"321","COPS9"
"322","COPZ1"
"323","COQ10B"
"324","COQ5"
"325","CORO1B"
"326","COX1"
"327","COX14"
"328","COX2"
"329","COX3"
"330","COX4I1"
"331","COX5A"
"332","COX5B"
"333","COX6A1"
"334","COX6B1"
"335","COX7A2"
"336","COX7A2L"
"337","COX7B"
"338","COX8A"
"339","CPEB3"
"340","CPLANE1"
"341","CPOX"
"342","CPSF6"
"343","CPT1A"
"344","CRADD"
"345","CRAMP1"
"346","CREB3"
"347","CRK"
"348","CRMP1"
"349","CROT"
"350","CRTAC1"
"351","CSNK1D"
"352","CSPP1"
"353","CST3"
"354","CSTB"
"355","CTBP2"
"356","CTDNEP1"
"357","CTDSPL2"
"358","CTNND1"
"359","CTU1"
"360","CUL1"
"361","CUL5"
"362","CWC22"
"363","CWF19L2"
"364","CYB561D2"
"365","CYB5A"
"366","CYC1"
"367","CYHR1"
"368","CYP1A1"
"369","CYP20A1"
"370","CYP2R1"
"371","CYSTM1"
"372","CYTB"
"373","DAD1"
"374","DARS1-AS1"
"375","DBNL"
"376","DBT"
"377","DCAF16"
"378","DCBLD1"
"379","DCLRE1C"
"380","DCTN2"
"381","DDB1"
"382","DDHD2"
"383","DDI2"
"384","DDIT3"
"385","DDRGK1"
"386","DDX19A-DT"
"387","DDX46"
"388","DEK"
"389","DENR"
"390","DERL1"
"391","DESI2"
"392","DEXI"
"393","DGKH"
"394","DHCR7"
"395","DHPS"
"396","DHRS7"
"397","DHX33"
"398","DIABLO"
"399","DICER1"
"400","DIPK2A"
"401","DIS3L"
"402","DLEC1"
"403","DLEU2"
"404","DLST"
"405","DMAC1"
"406","DMAC2"
"407","DNAAF1"
"408","DNAAF10"
"409","DNAJB1"
"410","DNAJB12"
"411","DNAJB14"
"412","DNAJC1"
"413","DNAJC10"
"414","DNAJC13"
"415","DNAJC2"
"416","DNAL1"
"417","DNASE1L1"
"418","DND1"
"419","DNM1L"
"420","DOC2A"
"421","DOCK1"
"422","DOHH"
"423","DOLK"
"424","DPY19L3"
"425","DPY19L4"
"426","DRAP1"
"427","DRG2"
"428","DTX3"
"429","DUSP1"
"430","DUSP11"
"431","DUSP18"
"432","DUSP3"
"433","DVL2"
"434","DYNC2I1"
"435","DYNLL1"
"436","DYNLRB1"
"437","DYNLT1"
"438","E2F8"
"439","EBP"
"440","ECI1"
"441","ECSIT"
"442","EDC3"
"443","EDEM3"
"444","EDF1"
"445","EDRF1"
"446","EEA1"
"447","EEF1AKMT3"
"448","EFCAB10"
"449","EFCAB14"
"450","EFCAB14-AS1"
"451","EFCAB7"
"452","EHD3"
"453","EIF1"
"454","EIF2B4"
"455","EIF3G"
"456","EIF3I"
"457","EIF3J"
"458","EIF4E2"
"459","EIF4E3"
"460","EIF6"
"461","ELK1"
"462","ELK3"
"463","ELK4"
"464","ELOB"
"465","ELOF1"
"466","ELOVL1"
"467","EMC3"
"468","EMC6"
"469","EMC7"
"470","EMC8"
"471","EMD"
"472","EMG1"
"473","EMILIN2"
"474","EML2"
"475","EML5"
"476","EMSY"
"477","ENO1"
"478","ENOX2"
"479","ENSA"
"480","EOGT"
"481","EPC1"
"482","EPC2"
"483","ERCC2"
"484","ERCC6L2-AS1"
"485","ERCC8"
"486","ERICH1"
"487","ERP29"
"488","ESRRA"
"489","ETAA1"
"490","ETFA"
"491","ETFB"
"492","ETNK1"
"493","ETV1"
"494","ETV4"
"495","EVA1B"
"496","EVA1C"
"497","EWSR1"
"498","EXOC5"
"499","EXOSC1"
"500","EXOSC7"
"501","FADD"
"502","FAM118A"
"503","FAM118B"
"504","FAM126B"
"505","FAM133B"
"506","FAM135A"
"507","FAM166A"
"508","FAM172A"
"509","FAM174A"
"510","FAM174B"
"511","FAM174C"
"512","FAM177A1"
"513","FAM199X"
"514","FAM214B"
"515","FAM32A"
"516","FAM50A"
"517","FAM76B"
"518","FAM78A"
"519","FAM83G"
"520","FAM89B"
"521","FAM98B"
"522","FANCM"
"523","FAR1"
"524","FASTK"
"525","FAU"
"526","FBH1"
"527","FBXO25"
"528","FBXO45"
"529","FBXW5"
"530","FDX2"
"531","FER"
"532","FHL1"
"533","FIGNL1"
"534","FIS1"
"535","FKBP11"
"536","FKBP1B"
"537","FKBP8"
"538","FLVCR1"
"539","FNIP1"
"540","FOSL2"
"541","FOXJ3"
